23 1 4 8 4 2 03 37 1 2  2 40 0 1 22  9 00015002 00015002 1 00 00445 01 01 00 00216162 00330502 91
45 1 1 8 1 1 03 39 6 0  1 -1 1 0  0  0 00002200 00028300 1 00 01451 01 01 02 00259495 00324334 91
39 2 3 8 1 1 03 40 1 3  2 46 0 0 18  2 00026100 00028300 1 00 01451 01 02 01 00205681 00324334 91
16 1 3 8 7 0 03 35 4 8 11 -1 6 1 24 15 00000000 00028300 1 00 01451 01 03 00 00218787 00356936 91
53 2 1 8 5 0 01 41 1 1  2 54 0 0 17  2 00023000 00023000 1 00 04356 01 01 00 00200660 00347911 91
42 1 1 8 7 0 01 42 1 1  2 50 0 0 10  1 00044297 00044297 1 00 04357 01 01 00 00206279 00351372 91
31 1 1 8 7 0 01 39 1 1  2 40 0 0 17  2 00032005 00032005 1 00 04357 02 02 00 00211281 00388551 91
59 2 1 8 1 0 03 41 1 1  7 23 0 0 10  4 00010400 00039400 1 00 04358 01 01 02 00201413 00347215 91
57 1 1 8 1 0 03 41 1 1  2 50 0 0 19  5 00029000 00039400 1 00 04358 01 02 01 00212961 00347215 91
22 1 1 8 7 0 03 41 4 1 11 -1 5 1 14  2 00000000 00039400 1 00 04358 01 03 00 00312786 00577248 91
47 2 1 8 1 0 02 40 7 0  1 -1 3 0  0  0 00000000 00019402 1 00 04994 01 01 02 00202722 00335818 91
53 1 1 8 1 0 02 40 7 0  1 -1 2 0  0  0 00019402 00019402 1 00 04994 01 02 01 00187799 00335818 91
38 1 1 8 1 1 03 39 1 6  8 32 0 0  9  9 00002928 00023835 1 00 05446 01 01 02 00261899 00382333 91
44 2 1 8 1 1 03 43 1 4  8 24 0 0 18  2 00020686 00023835 1 00 05446 01 02 01 00257272 00382333 91
17 1 1 8 7 0 03 37 7 0  1 -1 4 3  0  0 00000221 00023835 1 00 05446 01 03 00 00293225 00437874 91
37 1 1 8 1 2 04 44 1 4  2 55 0 0 18  2 00038031 00104062 1 00 05447 01 01 02 00261899 00362228 91
